Domain,Question,Answer,Keywords
C++,What is a virtual function?,A virtual function is a member function that is declared using the virtual keyword and can be overridden in derived classes to achieve runtime polymorphism.,"virtual, function, member, keyword, overridden, derived, polymorphism"
C++,What is a pure virtual function?,A pure virtual function is a function declared with =0 and has no implementation in the base class. It makes the class abstract.,"pure, virtual, function, base, class, abstract"
C++,What is STL in C++?,STL stands for Standard Template Library. It provides data structures and algorithms like vectors lists maps and sorting functions.,"STL, standard, template, library, data, structures, algorithms, vectors, lists, maps"
C++,What is a vector?,A vector is a dynamic array provided by STL that can grow or shrink in size automatically.,"vector, dynamic, array, STL, grow, shrink"
C++,What is a map in C++?,A map is an associative container that stores elements in key-value pairs with unique keys.,"map, associative, container, key, value, pairs"
C++,Explain exception handling in C++,Exception handling is used to handle runtime errors using try catch and throw blocks to prevent program crashes.,"exception, handling, runtime, errors, try, catch, throw"
C++,What is multithreading?,Multithreading is the ability to run multiple threads simultaneously to perform tasks concurrently.,"multithreading, threads, simultaneous, concurrent, tasks"
C++,What is the difference between struct and class?,The main difference is that members of a struct are public by default while members of a class are private by default.,"struct, class, members, public, private, default"
Python,What is Python?,Python is a high-level interpreted programming language known for readability and versatility used in web development data science automation and AI.,"python, high-level, interpreted, readability, versatility, web, data, science, automation, AI"
Python,What are Python data types?,Common data types include int float str list tuple set and dict.,"data, types, int, float, str, list, tuple, set, dict"
Python,Difference between list and tuple?,Lists are mutable whereas tuples are immutable and generally faster.,"list, tuple, mutable, immutable, faster"
Python,What is a dictionary?,A dictionary is an unordered collection of key-value pairs.,"dictionary, unordered, collection, key, value, pairs"
Python,What is a set?,A set is an unordered collection of unique elements.,"set, unordered, collection, unique, elements"
Python,What is list comprehension?,A concise way to create lists using a single line expression.,"list, comprehension, concise, expression"
Python,What is a function?,A reusable block of code that performs a specific task.,"function, reusable, code, task"
Python,What is lambda function?,An anonymous function defined using lambda keyword for short operations.,"lambda, function, anonymous, keyword, operations"
Python,What is recursion?,A function calling itself to solve smaller subproblems.,"recursion, function, calling, subproblems"
Python,Explain *args and **kwargs?,*args allows variable positional arguments and **kwargs allows variable keyword arguments.,"args, kwargs, positional, keyword, arguments"
Python,What is GIL?,Global Interpreter Lock ensures only one thread executes Python bytecode at a time limiting true parallelism.,"GIL, global, interpreter, lock, thread, bytecode, parallelism"
Python,What is shallow vs deep copy?,Shallow copy copies references whereas deep copy copies entire nested objects.,"shallow, deep, copy, references, nested, objects"
Python,Explain decorators?,Decorators modify behavior of functions using wrapper functions.,"decorators, modify, behavior, functions, wrapper"
Python,What are generators?,Generators yield values one at a time using yield keyword saving memory.,"generators, yield, values, keyword, memory"
Python,Difference between iterator and generator?,Iterators use __iter__ and __next__ methods whereas generators are simpler using yield.,"iterator, generator, iter, next, yield"
Python,What is duck typing?,Type checking is based on object behavior not type.,"duck, typing, type, checking, behavior"
Python,What is monkey patching?,Dynamically modifying classes or modules at runtime.,"monkey, patching, modifying, classes, modules, runtime"
Python,Explain context managers?,Used with with statement to manage resources automatically using __enter__ and __exit__.,"context, managers, with, statement, resources, enter, exit"
Python,What is metaclass?,A class of a class that defines how classes behave.,"metaclass, class, defines, behavior"
Python,What is MRO?,Method Resolution Order defines order of method lookup in inheritance.,"MRO, method, resolution, order, inheritance"
Python,What is asyncio?,Library for writing concurrent code using async and await.,"asyncio, library, concurrent, async, await"
Python,Difference between multithreading and multiprocessing?,Threads share memory but are limited by GIL whereas processes run independently enabling parallelism.,"multithreading, multiprocessing, threads, memory, GIL, processes, parallelism"
Python,What are coroutines?,Functions that can pause and resume execution using async and await.,"coroutines, functions, pause, resume, async, await"
Python,Explain memory management in Python?,Uses automatic garbage collection and reference counting.,"memory, management, garbage, collection, reference, counting"
Python,What is reference counting?,Keeps track of number of references to an object and deletes when zero.,"reference, counting, object, delete"
Python,What is cyclic garbage?,Objects referencing each other causing memory leaks handled by GC.,"cyclic, garbage, objects, references, leaks, GC"
Python,What is __slots__?,Limits dynamic attribute creation reducing memory usage.,"slots, dynamic, attribute, creation, memory, usage"
Python,Explain difference between is and ==?,is checks identity whereas == checks value equality.,"is, identity, equals, value, equality"
Python,What are descriptors?,Objects that define __get__ __set__ methods to manage attribute access.,"descriptors, get, set, attribute, access"
Python,Explain threading issues like race condition?,Occurs when multiple threads access shared data causing unpredictable results.,"threading, race, condition, threads, shared, data"
Python,Your Flask API becomes slow under high traffic. What could be wrong and how would you fix it?,"Likely due to synchronous handling and GIL limitations. Use async frameworks like FastAPI, add Gunicorn workers, optimize queries, and use caching.","flask, API, slow, traffic, GIL, async, FastAPI, Gunicorn, queries, caching"
Python,Your program memory usage keeps increasing over time. How do you debug it?,"Use tracemalloc, check circular references, ensure unused objects are deleted, and analyze memory leaks.","memory, usage, tracemalloc, circular, references, leaks"
Python,What will be output and why? def f(a=[]): a.append(1); return a,"Outputs [1] then [1,1] because default mutable arguments persist across function calls.","output, mutable, arguments, default, function, calls"
Python,Multiple threads updating shared variable give wrong results. Fix?,Use threading.Lock or synchronization primitives to avoid race conditions.,"threads, shared, variable, lock, synchronization, race"
Python,Processing a 10GB file crashes system. Solution?,"Use generators, read in chunks, avoid loading entire file, possibly multiprocessing.","file, 10GB, crash, generators, chunks, multiprocessing"
Python,SQL queries in your app are slow. What do you do?,"Add indexing, optimize queries, avoid SELECT *, cache results, batch operations.","SQL, queries, slow, indexing, optimize, cache, batch"
Python,Multithreaded program freezes randomly. Cause?,Likely deadlock due to improper locking. Fix with consistent lock order or timeouts.,"multithreaded, program, freeze, deadlock, locking, lock, order, timeouts"
Python,Code works locally but crashes in production. Debug approach?,"Check logs, replicate environment, use proper logging, monitor with tools like Sentry.","code, crashes, production, logs, environment, logging, monitor, sentry"
Python,Design system to handle millions of requests.,"Use async frameworks, load balancing, caching, horizontal scaling, microservices.","system, millions, requests, async, frameworks, load, balancing, caching, scaling, microservices"
Python,User input directly used in SQL query. Risk and fix?,SQL injection risk. Use parameterized queries or ORM.,"SQL, injection, risk, parameterized, queries, ORM"
Python,List modification during iteration causes bugs. Why?,Modifying list while iterating changes indices leading to unexpected behavior.,"list, modification, iteration, indices, bugs, behavior"
Python,High CPU usage in Python app. How to optimize?,"Profile code, optimize loops, use multiprocessing, vectorization, or C extensions.","CPU, python, optimize, loops, multiprocessing, vectorization, extensions"
Python,Function returns wrong results intermittently.,Could be due to shared mutable state or concurrency issues.,"function, wrong, results, mutable, state, concurrency"
Python,Large JSON parsing is slow.,Use streaming parsers like ijson or optimize data handling.,"JSON, parsing, slow, streaming, parsers, ijson, optimize"
Python,Need fast lookup for large dataset.,Use dictionaries or sets for O(1) lookup.,"fast, lookup, dataset, dictionaries, sets"
Python,Recursive function hits recursion limit.,Use iterative approach or increase recursion limit cautiously.,"recursive, function, recursion, limit, iterative, approach"
Python,App startup time is slow.,"Lazy loading, optimize imports, reduce heavy initialization.","app, startup, slow, lazy, loading, imports, initialization"
Python,Two modules have circular import error.,"Refactor code, move imports inside functions, or redesign dependencies.","modules, circular, import, error, refactor, dependencies"
Python,Need to share data safely between processes.,Use multiprocessing.Queue or Manager.,"share, data, processes, multiprocessing, queue, manager"
Python,Program not releasing file resources.,Use context managers (with statement) to ensure proper cleanup.,"program, file, resources, context, managers, cleanup"
Java,What is Java?,Java is a high-level object-oriented programming language known for platform independence using the JVM.,"java, high-level, object-oriented, programming, language, platform, independence, JVM"
Java,What is JVM?,Java Virtual Machine executes Java bytecode and provides platform independence.,"JVM, java, virtual, machine, bytecode, platform, independence"
Java,What is JDK vs JRE?,JDK is development kit including compiler and tools whereas JRE provides runtime environment.,"JDK, JRE, development, kit, compiler, tools, runtime, environment"
Java,What is OOP?,Object-Oriented Programming uses concepts like classes objects inheritance polymorphism encapsulation.,"OOP, object-oriented, programming, classes, objects, inheritance, polymorphism, encapsulation"
Java,What is a class?,A class is a blueprint for creating objects containing fields and methods.,"class, blueprint, objects, fields, methods"
Java,What is an object?,An object is an instance of a class.,"object, instance, class"
Java,What is inheritance?,Inheritance allows one class to acquire properties of another class.,"inheritance, class, properties"
Java,What is polymorphism?,Polymorphism allows methods to behave differently based on context.,"polymorphism, methods, context"
Java,What is encapsulation?,Encapsulation is wrapping data and methods into a single unit and restricting access.,"encapsulation, data, methods, unit, access"
Java,What is abstraction?,Abstraction hides implementation details and shows only essential features.,"abstraction, implementation, details, essential, features"
Java,What is method overloading?,Defining multiple methods with same name but different parameters.,"method, overloading, multiple, parameters"
Java,What is method overriding?,Redefining a method in subclass with same signature.,"method, overriding, subclass, signature"
Java,What is interface?,An interface defines abstract methods that a class must implement.,"interface, abstract, methods, implement, class"
Java,What is abstract class?,A class that cannot be instantiated and may contain abstract methods.,"abstract, class, instantiated, methods"
Java,What is final keyword?,final prevents modification of variables methods or classes.,"final, keyword, variables, methods, classes"
Java,What is static keyword?,static members belong to class rather than instances.,"static, keyword, members, class, instances"
Java,What is exception handling?,Handling runtime errors using try catch finally blocks.,"exception, handling, runtime, errors, try, catch, finally"
Java,What is multithreading?,Running multiple threads concurrently within a program.,"multithreading, threads, concurrent, program"
Java,What is synchronization?,Controlling access to shared resources to avoid race conditions.,"synchronization, access, shared, resources, race, conditions"
Java,What is deadlock?,A situation where threads wait indefinitely for resources.,"deadlock, threads, resources, wait, indefinite"
Java,What is garbage collection?,Automatic memory management that removes unused objects.,"garbage, collection, memory, management, unused, objects"
Java,Explain memory model in Java?,Includes heap stack method area where objects and variables are stored.,"memory, model, heap, stack, method, area, objects, variables"
Java,What is String immutability?,String objects cannot be changed once created.,"string, immutability, objects, changed, created"
Java,What is difference between == and equals()?,== compares references whereas equals compares values.,"equals, references, values, compare"
Java,What is HashMap?,A collection storing key value pairs with fast lookup.,"hashmap, collection, key, value, pairs, lookup"
Java,What is ConcurrentHashMap?,Thread-safe version of HashMap for concurrent access.,"concurrenthashmap, thread-safe, hashmap, concurrent, access"
Java,What is volatile keyword?,Ensures visibility of changes across threads.,"volatile, keyword, visibility, changes, threads"
Java,What is Executor framework?,Provides thread pool management for efficient concurrency.,"executor, framework, thread, pool, concurrency"
Java,What is Stream API?,Allows functional-style operations on collections like filter map reduce.,"stream, API, functional, operations, collections, filter, map, reduce"
Java,What is lambda expression?,Anonymous function used in functional programming.,"lambda, expression, anonymous, function, functional, "
Java,Your Java web app slows under high load. What could be wrong?,"Possible thread exhaustion or blocking I/O. Use thread pools, async processing, optimize DB queries, and caching.","java, web, app, slow, load, thread, exhaustion, blocking, I/O, thread, pools, async, caching"
Java,Memory usage keeps increasing in your app. Diagnose?,"Likely memory leak. Use profiling tools like VisualVM, check object references, and ensure proper GC behavior.","memory, usage, leak, profiling, VisualVM, references, GC"
Java,Multiple threads update shared data incorrectly. Fix?,"Use synchronization, locks, or concurrent collections like ConcurrentHashMap.","threads, shared, data, synchronization, locks, concurrent, collections, ConcurrentHashMap"
Java,Application crashes with NullPointerException randomly.,"Check null handling, add validations, use Optional, and analyze logs.","application, crash, NullPointerException, null, validations, Optional, logs"
Java,Database queries are slow in production.,"Add indexing, optimize queries, use connection pooling, and caching.","database, queries, slow, indexing, optimize, connection, pooling, caching"
Java,Deadlock occurs in multithreaded program.,"Ensure consistent lock order, reduce nested locks, and use tryLock.","deadlock, multithreaded, program, lock, order, nested, tryLock"
Java,High CPU usage in Java application.,"Profile code, optimize loops, avoid excessive object creation, and use efficient algorithms.","CPU, java, application, profile, loops, object, creation, algorithms"
Java,OutOfMemoryError occurs frequently.,"Increase heap size, optimize memory usage, fix leaks, and tune GC.","OutOfMemoryError, heap, memory, leaks, GC"
Java,App works locally but fails in production.,"Check environment differences, configs, logs, and dependencies.","app, local, production, environment, configs, logs, dependencies"
Java,Need to handle millions of requests.,"Use load balancing, microservices, caching, async processing, and scaling.","millions, requests, load, balancing, microservices, caching, async, scaling"
Java,Concurrent modification exception occurs.,Avoid modifying collection during iteration or use iterator.remove().,"concurrent, modification, exception, collection, iteration, iterator, remove"
Java,Slow startup time of application.,"Optimize class loading, reduce heavy initialization, lazy loading.","startup, application, class, loading, initialization, lazy"
Java,REST API response time is high.,"Optimize logic, use caching, async calls, and DB tuning.","REST, API, response, caching, async, DB, tuning"
Java,Frequent GC pauses affecting performance.,"Tune GC, reduce object creation, and use appropriate collectors.","GC, pauses, performance, tune, object, creation, collectors"
Java,Need thread-safe singleton implementation.,Use enum singleton or double-checked locking.,"thread-safe, singleton, enum, double-checked, locking"
Java,Circular dependency in Spring application.,Refactor design or use setter injection.,"circular, dependency, spring, application, refactor, setter, injection"
Java,Data inconsistency in distributed system.,"Use transactions, eventual consistency, and proper synchronization.","data, inconsistency, distributed, system, transactions, consistency, synchronization"
Java,File not closing properly.,Use try-with-resources to ensure closure.,"file, closing, try-with-resources, closure"
Java,Need fast search in large dataset.,"Use HashMap, indexing, or search trees.","fast, search, dataset, HashMap, indexing, trees"
Java,Security issue with user input in queries.,Prevent SQL injection using prepared statements.,"security, user, input, queries, SQL, injection, prepared, statements"
DSA,What is a data structure?,"A data structure is a way of organizing and storing data efficiently for operations like access, insertion, and deletion.","data, structure, organizing, storing, access, insertion,deletion"
DSA,What is time complexity?,Time complexity measures how the runtime of an algorithm grows with input size.,"time, complexity, runtime, algorithm, input, size"
DSA,Difference between array and linked list?,"Arrays store elements in contiguous memory with fixed size, while linked lists use nodes with pointers allowing dynamic size.","array, linked, list, contiguous, memory, nodes, pointers, dynamic"
DSA,What is a stack?,A stack is a LIFO data structure where elements are inserted and removed from the top.,"stack, LIFO, data, structure, top"
DSA,What is a queue?,A queue is a FIFO data structure where elements are inserted at rear and removed from front.,"queue, FIFO, data, structure, rear, front"
DSA,What is recursion?,Recursion is a technique where a function calls itself to solve smaller subproblems.,"recursion, function, calls, subproblems"
DSA,What is binary search?,Binary search is an efficient algorithm to find an element in a sorted array with O(log n) time complexity.,"binary, search, algorithm, sorted, array, log, complexity"
DSA,What is a tree?,A tree is a hierarchical data structure consisting of nodes connected by edges.,"tree, hierarchical, nodes, edges"
DSA,What is a graph?,A graph is a collection of nodes and edges representing relationships.,"graph, nodes, edges, relationships"
DSA,What is hashing?,Hashing maps data to fixed-size values using hash functions for fast lookup.,"hashing, data, hash, functions, lookup"
DSA,Explain quicksort?,Quicksort is a divide and conquer algorithm that selects a pivot and partitions the array around it.,"quicksort, divide, conquer, algorithm, pivot, partition"
DSA,What is merge sort?,"Merge sort divides the array into halves, sorts them, and merges them back.","merge, sort, array, halves, merges"
DSA,What is dynamic programming?,DP solves problems by breaking them into overlapping subproblems and storing results.,"dynamic, programming, overlapping, subproblems, storing"
DSA,What is greedy algorithm?,Greedy algorithms make locally optimal choices hoping for global optimum.,"greedy, algorithm, locally, optimal, global"
DSA,What is BFS and DFS?,"BFS explores level by level using queue, DFS explores depth using stack or recursion.","BFS, DFS, queue, stack, recursion"
DSA,What is a heap?,A heap is a complete binary tree satisfying heap property (min or max).,"heap, binary, tree, min, max"
DSA,What is a trie?,A trie is a tree-like structure used for efficient retrieval of strings.,"trie, tree, structure, retrieval, strings"
DSA,What is topological sort?,"Ordering of nodes in a DAG such that for every directed edge u->v, u comes before v.","topological, sort, DAG, nodes, edges, ordering"
DSA,What is union-find?,A data structure to track disjoint sets with union and find operations.,"union, find, disjoint, sets, operations"
DSA,What is sliding window technique?,Technique to reduce time complexity by maintaining a window over data.,"sliding, window, technique, time, complexity, data"
DSA,Your algorithm is too slow for large input. What do you do?,"Analyze time complexity, optimize using better algorithms or data structures, and reduce nested loops.","algorithm, slow, input, time, complexity, optimize, data, structures, loops"
DSA,You need fast search and insert operations. Which DS?,Use hash tables or balanced BSTs depending on requirements.,"search, insert, hash, tables, balanced, BST"
DSA,Memory usage is too high. How to optimize?,"Use space-efficient structures, avoid redundancy, and optimize recursion.","memory, usage, optimize, space, recursion, redundancy"
DSA,Detect cycle in graph. Approach?,Use DFS with visited tracking or union-find for undirected graphs.,"cycle, graph, DFS, visited, union-find, undirected"
DSA,Find shortest path in weighted graph.,Use Dijkstra algorithm for non-negative weights or Bellman-Ford otherwise.,"shortest, path, weighted, graph, Dijkstra, Bellman-Ford"
DSA,Find longest substring without repeating characters.,Use sliding window with hash set or map.,"longest, substring, repeating, characters, sliding, window, hash, set, map"
DSA,System crashes due to recursion depth.,Convert recursion to iteration or increase stack size cautiously.,"recursion, depth, crash, iteration, stack"
DSA,Frequent range queries on array.,Use segment tree or Fenwick tree.,"range, queries, array, segment, tree, Fenwick"
DSA,Need real-time median from stream.,Use two heaps (min and max heap).,"median, stream, heaps, min, max"
DSA,Optimize repeated computations.,Use memoization or dynamic programming.,"optimize, computations, memoization, dynamic, programming"
DSA,Explain Kadane’s Algorithm and its use.,Kadane’s Algorithm finds the maximum subarray sum in O(n) by maintaining current and global maximum sums.,"Kadane, algorithm, maximum, subarray, sum, O(n), global"
DSA,Difference between Bellman-Ford and Dijkstra?,"Dijkstra works for non-negative weights and is faster, while Bellman-Ford handles negative weights but is slower.","Bellman-Ford, Dijkstra, weights, negative, faster, slower"
DSA,Explain Floyd-Warshall algorithm.,It finds shortest paths between all pairs of nodes using dynamic programming in O(n^3).,"Floyd-Warshall, shortest, paths, nodes, dynamic, programming, O(n^3)"
DSA,What is backtracking?,A technique to solve problems by trying all possibilities and undoing choices when they fail.,"backtracking, technique, problems, possibilities, undo"
DSA,Explain N-Queens problem approach.,Use backtracking to place queens ensuring no two attack each other.,"N-Queens, backtracking, queens, attack"
DSA,What is branch and bound?,An optimization technique that prunes branches that cannot yield better solutions.,"branch, bound, optimization, prune, solutions"
DSA,Explain KMP string matching algorithm.,KMP uses LPS array to avoid rechecking characters achieving O(n+m) time.,"KMP, string, matching, LPS, array, characters, O(n+m)"
DSA,What is Rabin-Karp algorithm?,Uses hashing to find pattern matches efficiently in strings.,"Rabin-Karp, algorithm, hashing, pattern, matches, strings"
DSA,Explain suffix array.,A sorted array of suffixes used for fast substring queries.,"suffix, array, sorted, substring, queries"
DSA,What is Tarjan’s algorithm?,Finds strongly connected components in a graph using DFS.,"Tarjan, algorithm, strongly, connected, components, graph, DFS"
DSA,Explain articulation points in graph.,Nodes whose removal increases number of connected components.,"articulation, points, graph, nodes, removal, components"
DSA,What is bridge in graph?,An edge whose removal disconnects the graph.,"bridge, graph, edge, removal, disconnect"
DSA,Explain Kosaraju’s algorithm.,Finds strongly connected components using two DFS passes.,"Kosaraju, algorithm, strongly, connected, components, DFS"
DSA,What is bit manipulation used for?,Optimizing computations using bitwise operations for speed and memory.,"bit, manipulation, bitwise, operations, speed, memory"
DSA,Explain subset generation using bitmask.,Each subset is represented as a binary number indicating inclusion of elements.,"subset, generation, bitmask, binary, elements"
DSA,What is meet-in-the-middle approach?,Splits problem into two halves to reduce complexity from exponential to manageable.,"meet-in-the-middle, problem, halves, complexity, exponential"
DSA,Explain Mo’s algorithm.,Used for range queries with offline processing and sqrt decomposition.,"Mo, algorithm, range, queries, offline, sqrt, decomposition"
DSA,What is heavy-light decomposition?,Decomposes tree into paths to answer queries efficiently.,"heavy-light, decomposition, tree, paths, queries"
DSA,Explain persistent data structures.,Structures that preserve previous versions after modifications.,"persistent, data, structures, versions, modifications"
DSA,What is randomized algorithm?,Uses randomness to improve performance or simplicity like quicksort pivot selection.,"randomized, algorithm, randomness, performance, quicksort, pivot"
Operating System,What is an Operating System?,An operating system is system software that manages hardware resources and provides services for computer programs.,"operating, system, software, hardware, resources, services, programs"
Operating System,What is a process?,A process is a program in execution with its own memory space.,"process, program, execution, memory, space"
Operating System,What is a thread?,A thread is a lightweight unit of execution within a process sharing resources.,"thread, lightweight, execution, process, resources"
Operating System,Difference between process and thread?,Processes have separate memory spaces while threads share memory within a process.,"process, thread, memory, separate, share"
Operating System,What is context switching?,Switching CPU from one process or thread to another saving and restoring state.,"context, switching, CPU, process, thread, state"
Operating System,What is scheduling?,The method by which OS decides which process gets CPU time.,"scheduling, OS, process, CPU, time"
Operating System,Explain FCFS scheduling.,First Come First Serve executes processes in arrival order.,"FCFS, scheduling, first, come, serve, arrival, order"
Operating System,Explain Round Robin scheduling.,Each process gets a fixed time slice in cyclic order.,"round, robin, scheduling, process, time, slice, cyclic"
Operating System,What is deadlock?,A situation where processes wait indefinitely for resources.,"deadlock, processes, wait, indefinitely, resources"
Operating System,What are necessary conditions for deadlock?,"Mutual exclusion, hold and wait, no preemption, and circular wait.","deadlock, mutual, exclusion, hold, wait, preemption, circular"
Operating System,What is paging?,Memory management technique dividing memory into fixed-size pages.,"paging, memory, management, fixed, size, pages"
Operating System,What is segmentation?,Memory divided into variable-sized segments based on program structure.,"segmentation, memory, variable, segments, program"
Operating System,What is virtual memory?,Technique allowing execution of processes larger than physical memory.,"virtual, memory, processes, physical"
Operating System,What is thrashing?,Excessive paging leading to performance degradation.,"thrashing, paging, performance, degradation"
Operating System,What is a page fault?,Occurs when required page is not in memory.,"page, fault, memory"
Operating System,What is demand paging?,Pages are loaded only when needed.,"demand, paging, pages, loaded"
Operating System,What is file system?,Structure used by OS to store and manage files.,"file, system, OS, store, manage"
Operating System,What is inode?,Data structure storing metadata about files.,"inode, data, structure, metadata, files"
